Table,Column,Type,Nulls,Rows,Definition,Definition source
MerchantValueRisk,total_sales,Decimal,0,25,"Sum of sales value for the merchant, in ZAR.",Defined in this build
MerchantValueRisk,total_transactions,Integer,0,25,Sum of transaction count for the merchant.,Defined in this build
MerchantValueRisk,avg_basket_value,Decimal,0,25,Total sales divided by total transactions.,Defined in this build
MerchantValueRisk,sales_vs_prior_3m_avg,Decimal,0,25,Latest month against the mean of the prior three.,Defined in this build
MerchantValueRisk,last3_vs_first3,Decimal,0,25,Last three months against the first three — structural trend.,Defined in this build
MerchantValueRisk,mom_change,Decimal,0,25,Month-on-month change in sales.,Defined in this build
MerchantValueRisk,redemption_rate,Decimal,0,25,Percentage or rate.,Convention
MerchantValueRisk,outstanding_value,Decimal,0,25,Face value of vouchers sold but not yet redeemed.,Defined in this build
MerchantValueRisk,tickets,Integer,0,25,Support ticket count for the merchant.,Defined in this build
MerchantValueRisk,sla_breach_rate,Decimal,0,25,Percentage or rate.,Convention
MerchantValueRisk,revenue_at_risk_annualised,Decimal,0,25,"Recent run-rate shortfall, annualised. Ranks merchants by RAND exposed rather than by percentage decline.",Defined in this build
MerchantValueRisk,onboarded_date,Text,0,25,Date value.,Convention
MerchantValueRisk,tenure_months,Integer,0,25,Whole months since onboarding.,Defined in this build
MerchantValueRisk,active_status,Text,0,25,Merchant standing at the last load.,Defined in this build
MerchantValueRisk,avg_monthly_revenue,Decimal,0,25,Mean monthly sales across the reporting window.,Defined in this build
MerchantValueRisk,annualised_run_rate,Decimal,0,25,Percentage or rate.,Convention
MerchantValueRisk,implied_lifetime_value,Decimal,0,25,Annualised run rate multiplied by expected retained years.,Defined in this build
MerchantValueRisk,reversal_tickets,Integer,0,25,Tickets categorised as reversals — a fraud-adjacent signal.,Defined in this build
MerchantValueRisk,financial_tickets,Integer,0,25,Tickets in the Financial category.,Defined in this build
MerchantValueRisk,reversal_per_1k_txn,Decimal,0,25,"Reversal tickets per 1,000 transactions, size-adjusted.",Defined in this build
MerchantValueRisk,same_day_redemption_rate,Decimal,0,25,Percentage or rate.,Convention
MerchantValueRisk,very_late_redemptions,Integer,0,25,Redemptions far beyond the typical window.,Defined in this build
MerchantValueRisk,max_voucher_value,Decimal,0,25,Largest single voucher value for the merchant.,Defined in this build
MerchantValueRisk,value_outlier_vouchers,Integer,0,25,Vouchers whose value is a statistical outlier for the merchant.,Defined in this build
MerchantValueRisk,retention_score,Decimal,0,25,Derived score. See the section that defines it.,Convention
MerchantValueRisk,risk_signal_score,Decimal,0,25,Derived score. See the section that defines it.,Convention
MerchantValueRisk,attrition_risk_score,Decimal,0,25,Derived score. See the section that defines it.,Convention
MerchantValueRisk,attrition_risk_band,Text,0,25,Banding of the matching score.,Convention
MerchantValueRisk,risk_signal_band,Text,0,25,Banding of the matching score.,Convention
MerchantValueRisk,value_at_stake_if_lost,Decimal,0,25,Implied lifetime value weighted by attrition risk — the expected loss if the merchant churns.,Defined in this build
RecControls,control_order,Integer,0,7,Display order.,Defined in this build
RecControls,control_family,Text,0,7,Control grouping.,Defined in this build
RecControls,control_name,Text,0,7,What the control asserts.,Defined in this build
RecControls,expected_value,Decimal,0,7,Value the control expects.,Defined in this build
RecControls,actual_value,Decimal,0,7,Value observed.,Defined in this build
RecControls,variance,Decimal,0,7,Actual minus expected.,Defined in this build
RecControls,variance_pct,Decimal,0,7,Variance as a share of expected.,Defined in this build
RecControls,control_status,Text,0,7,"PASS, WARN, EXPECTED or FAIL.",Defined in this build
RecControls,txn_per_voucher,Decimal,0,7,"Transactions per voucher, 4.217 — why the two facts differ.",Defined in this build
RecControls,rationale,Text,0,7,Why the control exists and how to read a failure.,Defined in this build
ModelGuide,Sort,Integer,0,15,Display order.,Defined in this build
ModelGuide,Origin,Text,0,15,How the table earns its place.,Defined in this build
ModelGuide,Table,Text,0,15,Table name.,Defined in this build
ModelGuide,Rows,Integer,0,15,Row count.,Defined in this build
ModelGuide,Why this table exists,Text,0,15,Justification for including the table.,Defined in this build
